,category,domain,img,type,task
25,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1027.jpg,train,1
26,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1028.jpg,train,1
27,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1029.jpg,train,1
28,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\103.jpg,train,1
29,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1030.jpg,train,1
30,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1031.jpg,train,1
31,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1033.jpg,train,1
32,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1034.jpg,train,1
33,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1036.jpg,test,1
34,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1037.jpg,train,1
35,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1038.jpg,train,1
36,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1039.jpg,train,1
37,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\104.jpg,train,1
38,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1040.jpg,train,1
39,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1041.jpg,train,1
40,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1043.jpg,train,1
41,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1044.jpg,train,1
42,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1045.jpg,train,1
43,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1047.jpg,train,1
44,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1048.jpg,train,1
45,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\105.jpg,train,1
46,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1050.jpg,train,1
47,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1051.jpg,train,1
48,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1052.jpg,train,1
49,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1053.jpg,train,1
50,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1054.jpg,train,1
51,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1055.jpg,train,1
52,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1056.jpg,train,1
53,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1057.jpg,train,1
54,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1058.jpg,train,1
55,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\106.jpg,train,1
56,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1061.jpg,train,1
57,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1063.jpg,train,1
58,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1064.jpg,train,1
59,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1065.jpg,train,1
60,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1066.jpg,train,1
61,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1067.jpg,train,1
62,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1069.jpg,train,1
63,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1070.jpg,train,1
64,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1071.jpg,train,1
65,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1072.jpg,train,1
66,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1073.jpg,train,1
67,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1074.jpg,train,1
68,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1075.jpg,train,1
69,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1076.jpg,train,1
70,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1080.jpg,train,1
71,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1081.jpg,train,1
72,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1082.jpg,train,1
73,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1083.jpg,train,1
74,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1084.jpg,train,1
75,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1085.jpg,train,1
76,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1086.jpg,train,1
77,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1087.jpg,train,1
78,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1088.jpg,train,1
79,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1089.jpg,train,1
80,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\109.jpg,train,1
81,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1091.jpg,train,1
82,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1092.jpg,train,1
83,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1093.jpg,train,1
84,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1094.jpg,train,1
85,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1095.jpg,train,1
86,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1096.jpg,train,1
87,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1097.jpg,train,1
88,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1098.jpg,test,13
89,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1099.jpg,train,1
90,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\11.jpg,train,1
91,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\110.jpg,train,1
92,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1100.jpg,train,1
93,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1101.jpg,train,1
94,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1102.jpg,train,1
95,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1109.jpg,train,1
96,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\111.jpg,train,1
97,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1110.jpg,train,1
98,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1111.jpg,train,1
99,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1112.jpg,train,1
100,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1113.jpg,train,1
101,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1114.jpg,train,1
102,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1115.jpg,train,1
103,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1116.jpg,train,1
104,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1117.jpg,train,1
105,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1118.jpg,train,1
106,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1119.jpg,train,1
107,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\112.jpg,test,11
108,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1120.jpg,train,1
109,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1121.jpg,train,1
110,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1122.jpg,train,1
111,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1123.jpg,test,13
112,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1124.jpg,train,1
113,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1125.jpg,train,1
114,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1126.jpg,train,1
115,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1127.jpg,train,1
116,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1128.jpg,train,1
117,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1129.jpg,train,1
118,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\113.jpg,train,1
119,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1130.jpg,train,1
120,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1131.jpg,train,1
121,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1138.jpg,train,1
122,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1139.jpg,train,1
123,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\114.jpg,train,1
124,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1140.jpg,train,1
125,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1141.jpg,train,1
126,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1142.jpg,train,1
127,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1143.jpg,train,1
128,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1144.jpg,train,1
129,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1145.jpg,train,1
130,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1146.jpg,train,1
131,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1147.jpg,train,1
132,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1148.jpg,train,1
133,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1149.jpg,train,1
134,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1150.jpg,train,1
135,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1151.jpg,train,1
136,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1152.jpg,train,1
137,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1153.jpg,train,1
138,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1154.jpg,train,1
139,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1155.jpg,train,1
140,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1156.jpg,train,1
141,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1157.jpg,train,1
142,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1158.jpg,train,1
143,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1159.jpg,train,1
144,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\116.jpg,train,1
145,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1160.jpg,train,1
146,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1161.jpg,train,1
147,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1162.jpg,train,1
148,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1163.jpg,train,1
149,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1167.jpg,train,1
150,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1168.jpg,train,1
151,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1169.jpg,train,1
152,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\117.jpg,train,1
153,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1171.jpg,train,1
154,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1172.jpg,test,5
155,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1173.jpg,train,1
156,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1174.jpg,train,1
157,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1175.jpg,train,1
158,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1176.jpg,train,1
159,bois,Acquisition-amas-mixte-bois-DIB-bigbag140,./dataset_fairewaste-classification\test\Acquisition-amas-mixte-bois-DIB-bigbag140\bois\1177.jpg,train,1
